G,Date,Home,Result,FG,FGA,FGP,ThreePM,ThreePA,ThreePP,FT,FTA,FTP
1,10/29/2014,@,W (+18),7,17,0.412,2,9,0.222,8,9,0.889
2,11/1/2014,,W (+23),10,19,0.526,3,8,0.375,8,8,1
3,11/2/2014,@,W (+5),6,18,0.333,1,5,0.2,8,8,1
4,11/5/2014,,W (+17),9,18,0.5,4,8,0.5,6,6,1
5,11/8/2014,@,W (+11),13,19,0.684,6,9,0.667,2,2,1
6,11/9/2014,@,L (-12),10,20,0.5,4,10,0.4,4,4,1
7,11/11/2014,,L (-13),7,18,0.389,0,7,0,2,2,1
8,11/13/2014,,W (+8),6,12,0.5,3,7,0.429,2,2,1
9,11/15/2014,,W (+25),8,15,0.533,3,6,0.5,0,1,0
10,11/16/2014,@,W (+21),10,19,0.526,5,9,0.556,5,5,1
11,11/21/2014,,W (+13),3,9,0.333,2,6,0.333,0,0,
12,11/23/2014,@,W (+5),5,15,0.333,2,6,0.333,3,4,0.75
13,11/25/2014,@,W (+17),12,19,0.632,8,11,0.727,8,9,0.889
14,11/26/2014,@,W (+15),9,13,0.692,6,8,0.75,4,5,0.8
15,11/28/2014,@,W (+5),9,20,0.45,1,10,0.1,7,7,1
16,11/30/2014,@,W (+11),5,9,0.556,1,3,0.333,5,6,0.833
17,12/2/2014,,W (+1),8,17,0.471,3,9,0.333,3,3,1
18,12/4/2014,,W (+27),8,17,0.471,3,6,0.5,0,0,
19,12/6/2014,@,W (+10),5,14,0.357,1,5,0.2,8,9,0.889
20,12/8/2014,@,W (+16),10,20,0.5,1,7,0.143,0,0,
21,12/10/2014,,W (+12),8,15,0.533,3,5,0.6,1,1,1
22,12/13/2014,@,W (+7),9,22,0.409,3,11,0.273,8,9,0.889
23,12/14/2014,@,W (+6),11,21,0.524,6,10,0.6,6,6,1
24,12/16/2014,@,L (-7),9,25,0.36,1,10,0.1,0,0,
25,12/18/2014,,W (+5),14,24,0.583,5,12,0.417,1,1,1
26,12/22/2014,,W (+20),5,12,0.417,1,5,0.2,1,1,1
27,12/23/2014,@,L (-10),10,14,0.714,2,5,0.4,0,0,
28,12/25/2014,@,L (-14),5,12,0.417,1,5,0.2,3,4,0.75
29,12/27/2014,,W (+13),9,18,0.5,4,9,0.444,3,4,0.75
30,12/30/2014,,W (+40),4,7,0.571,3,6,0.5,2,2,1
31,1/2/2015,,W (+21),10,18,0.556,5,11,0.455,7,7,1
32,1/5/2015,,W (+26),7,14,0.5,1,4,0.25,4,4,1
33,1/7/2015,,W (+15),8,17,0.471,4,8,0.5,1,1,1
34,1/9/2015,,W (+18),8,15,0.533,3,8,0.375,4,4,1
35,1/13/2015,@,W (+11),10,16,0.625,4,9,0.444,3,3,1
36,1/14/2015,,W (+15),11,19,0.579,7,10,0.7,3,5,0.6
37,1/16/2015,@,L (-12),6,13,0.462,2,6,0.333,5,5,1
38,1/17/2015,@,W (+25),9,18,0.5,2,8,0.25,7,8,0.875
39,1/19/2015,,W (+43),7,13,0.538,2,5,0.4,4,4,1
40,1/21/2015,,W (+13),7,12,0.583,3,5,0.6,5,6,0.833
41,1/23/2015,,W (+25),3,11,0.273,2,7,0.286,2,2,1
42,1/25/2015,,W (+3),6,16,0.375,1,5,0.2,9,9,1
43,1/27/2015,,L (-2),9,23,0.391,2,9,0.222,1,1,1
44,1/30/2015,@,L (-10),10,22,0.455,5,11,0.455,7,9,0.778
45,1/31/2015,,W (+19),9,23,0.391,4,9,0.444,3,3,1
46,2/3/2015,@,W (+25),6,15,0.4,2,6,0.333,9,10,0.9
47,2/4/2015,,W (+14),16,26,0.615,10,16,0.625,9,11,0.818
48,2/6/2015,@,L (-8),8,19,0.421,4,9,0.444,6,7,0.857
49,2/7/2015,@,W (+14),8,18,0.444,5,9,0.556,1,3,0.333
50,2/9/2015,@,W (+5),7,20,0.35,3,12,0.25,3,4,0.75
51,2/11/2015,@,W (+3),9,23,0.391,2,10,0.2,5,5,1
52,2/20/2015,,W (+11),8,17,0.471,4,8,0.5,5,5,1
53,2/24/2015,@,W (+7),11,18,0.611,5,9,0.556,5,5,1
54,2/26/2015,@,L (-11),5,17,0.294,3,9,0.333,5,5,1
55,2/27/2015,@,W (+24),8,13,0.615,3,4,0.75,3,3,1
56,3/1/2015,@,W (+5),14,22,0.636,5,8,0.625,4,4,1
57,3/2/2015,@,L (-2),8,16,0.5,6,12,0.5,4,4,1
58,3/4/2015,,W (+9),6,16,0.375,6,13,0.462,1,2,0.5
59,3/6/2015,,W (+15),6,11,0.545,5,8,0.625,5,6,0.833
60,3/8/2015,,W (+8),3,9,0.333,2,2,1,4,4,1
61,3/9/2015,@,W (+18),14,24,0.583,7,13,0.538,1,2,0.5
62,3/11/2015,,W (+7),4,15,0.267,1,7,0.143,0,0,
63,3/14/2015,,W (+31),8,15,0.533,6,10,0.6,3,3,1
64,3/16/2015,,W (+3),5,14,0.357,2,6,0.333,7,7,1
65,3/18/2015,,W (+19),4,11,0.364,2,6,0.333,6,6,1
66,3/20/2015,,W (+16),4,17,0.235,2,10,0.2,6,6,1
67,3/21/2015,,W (+15),8,18,0.444,3,6,0.5,5,5,1
68,3/23/2015,,W (+31),8,14,0.571,5,8,0.625,3,3,1
69,3/24/2015,@,W (+14),13,22,0.591,5,9,0.556,2,2,1
70,3/27/2015,@,W (+23),12,22,0.545,8,12,0.667,6,6,1
71,3/28/2015,@,W (+13),8,13,0.615,6,9,0.667,3,3,1
72,3/31/2015,@,W (+4),8,15,0.533,4,6,0.667,7,7,1
73,4/2/2015,,W (+1),10,22,0.455,6,11,0.545,2,2,1
74,4/4/2015,@,W (+13),4,12,0.333,1,4,0.25,2,3,0.667
75,4/5/2015,@,L (-15),9,17,0.529,5,10,0.5,1,2,0.5
76,4/7/2015,@,L (-3),9,18,0.5,5,8,0.625,2,2,1
77,4/9/2015,,W (+11),17,23,0.739,8,13,0.615,3,3,1
78,4/11/2015,,W (+9),11,21,0.524,5,11,0.455,7,8,0.875
79,4/13/2015,,W (+4),6,10,0.6,3,6,0.5,0,0,
80,4/15/2015,,W (+7),4,10,0.4,2,4,0.5,0,0,
